Intro to Chemical Engineering,,1010,CHME,,,1,F
"Material, Energy, and Entropy Balances",,2010,CHME,,,4,F
"Energy, Entropy, and Equilibrium",,2020,CHME,(CHME 2010),,4,S
Readings in Chemical Engineering ,,2940,CHME,,,1,F/S
Readings in Chemical Engineering ,,2940,CHME,,,2,F/S
Readings in Chemical Engineering ,,2940,CHME,,,3,F/S
Topics in Chemical Engineering,,2960,CHME,,,3,F/S
Senior Project,,2960,CHME,,,1,F/S
Senior Project,,2960,CHME,,,2,F/S
Senior Project,,2980,CHME,,,3,F/S
Transport Phenomena I,,4010,CHME,(MATH 2400),,4,F
Transport Phenomena II,,4020,CHME,"(MATH 2400, CHME 4010)",,4,S
Chemical Process Dynamics and Control,,4030,CHME,(MATH 2400),,4,S
Chemical Engineering Separations,,4040,CHME,"(CHME 4010, CHME 4020, CHME 2020)",(CHME 2020),3,F
Chemical Process Design,,4050,CHME,"(CHME 4040, CHME 4500)",,4,S
Chemical Engineering Lab I,,4150,CHME,"(CHME 4010, CHME 4020, CHME 2020)",,3,F/S
Chemical Engineering Lab II,,4160,CHME,"(CHME 4150, CHME 4040, CHME 4500)",,3,F/S
Bioprocessing Lab Course,,4170,CHME,(CHME 4430),,3,S
Chromatographic Separation Processes,,4400,CHME,,,3,S
Intro to Biochemical Engineering,,4430,CHME,,,3,F
Biomolecular Engineering,,4460,CHME,"(BIOL 1010, BIOL 2120),(CHME 2020, ENGR 2250)",,3,S
Single Molecules Complex Fluid,,4480,CHME,(CHME 4020),(CHME 4020),3,S
Chemical Reactor Design,,4500,CHME,"(CHME 2010, CHME 4010, CHME 4020)",,3,F
Introduction to Semiconductor Processing,,4600,CHME,,,3,F
Readings in Chemical Engineering,,4940,CHME,,,1,F/S
Readings in Chemical Engineering,,4940,CHME,,,2,F/S
Readings in Chemical Engineering,,4940,CHME,,,3,F/S
Topics in Chemical Engineering,,4960,CHME,,,3,F/S
Advanced Membrane Concepts,,6410,CHME,,,3,F
Separation and Recovery Processes,,6420,CHME,,,3,S
Biochemical Engineering,,6430,CHME,,,3,F
Chromatographic Separations,,6440,CHME,,,3,S
Biomolecular Engineering,,6460,CHME,"(BIOL 1010, BIOL 2120),(CHME 2020, ENGR 2250)",,3,S
Downstream Processing in Biochemical Engineering,,6470,CHME,,,3,F
Single Molecules Complex Fluid,,6480,CHME,(CHME 4020),(CHME 4020),3,S
Advanced Transport Phenomena I,,6510,CHME,(CHME 4010),,3,S
Advanced Transport Phenomena II,,6520,CHME,(CHME 6510),,3,F
Convective Heat Transfer,,6540,CHME,,,3,S
Chemical and Phase Equilibria,,6570,CHME,,,3,F
Mathematical Methods in Chemical Engineering I,,6610,CHME,(MATH 2400),,3,F
Mathematical Methods in Chemical Engineering II,,6620,CHME,(CHME 6610),,3,F
Advanced Chemical Reactor Design,,6640,CHME,(CHME 4500),,3,S
Advanced Process Control,,6650,CHME,(CHME 4030),,3,F/S
Advanced Process Design,,6670,CHME,,,3,F/S
Combustion,,6830,CHME,,,3,S
An Introduction to Multiphase Flow and Heat Transfer I,,6840,CHME,,,3,F
