Intro to Engineering Computation,,210,CAAM,,,3,F/S
Matrix Analysis,,335,CAAM,,,3,F/S
Matrix Analysis,,335,CAAM,,,4,F/S
Differential Equations in Science and Engineering,,336,CAAM,,,3,F/S
Freshman Chemistry Seminar,,110,CHEM,,,1,F/S
General Chemistry I,,121,CHEM,,,3,F/S
General Chemistry II,,122,CHEM,"(CHEM 121, CHEM 151)",,3,F/S
Single Variable Calculus I,,101,MATH,,,3,F/S
Single Variable Calculus II,,102,MATH,,,3,F/S
Fundamental Theorem of Calculus ,,111,MATH,,,3,F/S
Calculus and Its Applications,,112,MATH,,,3,F/S
Ordinary Differential Equations and Linear Algebra,,211,MATH,,,3,F/S
Multivariable Calculus ,,212,MATH,,,3,F/S
Intro to Nanoengineering,,201,MSNE,,,3,F/S
Wild Topics in Chemistry and Nanotechnology,,210,MSNE,,,1,F/S
Materials Science,,301,MSNE,,,3,F/S
Mechanics,,101,PHYS,,(PHYS 103),3,F/S
Electricity and Magnetisim,,102,PHYS,,(PHYS 104),4,F/S
Elementary Applied Statistics ,,280,STAT,,,4,F/S
History of Numbers and Games of Chances,,281,STAT,,,3,F/S
Intro to Statistics for Biosciences,,305,STAT,"(MATH 101, MATH 102)",,4,F/S
Probability and Statistics,,310,STAT,(MATH 102),,3,F/S
Probability and Statistics for Engineers,,312,STAT,(MATH 102),,3,F/S
Uncertainty and Risk in Urban Infrastructures,,313,STAT,"(STAT 312, STAT 310, ECON 307, ECON 382, STAT 331, ELEC 331)",,3,F/S
Classical Thermodynamics,,200,MECH,,,3,F/S
Engineering Mechanics,,211,MECH,,,3,F/S
Current Topics,,299,MECH,,,3,F/S
Senior Design Junior Observers,,308,MECH,,,1,F/S
Mechanics of Solids and Structures,,311,MECH,"(MECH 211, CEVE 211)",,3,F/S
Mechanics and Sports,,314,MECH,"(PHYS 101, PHYS 111, PHYS 125, PHYS 141)",,3,F/S
Junior Lab I,,331,MECH,,,1,F/S
Junior Lab II,,332,MECH,(MECH 371),,1,F/S
Industrial Process Lab,,340,MECH,,,1,F/S
Modeling of Dynamic Systems,,343,MECH,"(MECH 211, CEVE 211),(MECH 200)",,4,F/S
Fluid Mechanics I,,371,MECH,"(MECH 200), (MECH 211, CEVE 211), (MATH 212)",,3,F/S
Acoustics,,373,MECH,,,3,F/S
Intro to Mechanical Effects in Tissues,,380,MECH,"(MECH 211), (MECH 311, CEVE 300)",,3,F/S
Intro to Biomedical Instrumentation and Measurement Techniques,,383,MECH,(ELEC 381),,3,F/S
Advanced Mechanics of Materials,,400,MECH,"(MECH 211, CEVE 211), (MECH 311, CEVE 311)",,3,F/S
Mechanical Design Applications,,401,MECH,"(MECH 311, CEVE 311)",,3,F/S
Computer Aided Design,,403,MECH,,,3,F/S
Mechanical Design Project,,404,MECH,,,1,F/S
Mechanical Design Project,,404,MECH,,,2,F/S
